superstar,stock,client,market,type,action type,Date,avg,count,change,buy count
New World Fund Inc,PB Fintech Ltd.,NEW WORLD FUND INC,BSE,Block,Purchase,2/1/2024,992.8,4705015,0.0104,7
New World Fund Inc,PB Fintech Ltd.,NEW WORLD FUND INC,BSE,Block,Purchase,2/1/2024,992.8,7725000,0.0171,7
Smallcap World Fund Inc,PB Fintech Ltd.,SMALLCAP WORLD FUND INC,BSE,Block,Purchase,2/1/2024,992.8,6367319,0.0141,7
American Funds Insurance Series,PB Fintech Ltd.,AMERICAN FUNDS INSURANCE SERIES NEW WORLD FUND,BSE,Block,Purchase,2/1/2024,992.8,881140,0.002,7
New World Fund Inc,PB Fintech Ltd.,AMERICAN FUNDS INSURANCE SERIES NEW WORLD FUND,BSE,Block,Purchase,2/1/2024,992.8,881140,0.002,7
New World Fund Inc,PB Fintech Ltd.,NEW WORLD FUND INC,BSE,Block,Purchase,2/1/2024,992.8,2096483,0.0046,7
New World Fund Inc,PB Fintech Ltd.,CAPITAL GROUP NEW WORLD FUND (LUX),BSE,Block,Purchase,2/1/2024,992.8,123452,0.0003,7
Government Of Singapore,"Data Patterns (India) Ltd.

High Gain High Volume",GOVERNMENT OF SINGAPORE,BSE,Bulk,Purchase,2/16/2024,1837,3147725,0.0562,6
Kotak Mahindra Group,"Data Patterns (India) Ltd.

High Gain High Volume",KOTAK MAHINDRA MUTUAL FUND,BSE,Bulk,Purchase,2/16/2024,1837,455000,0.0081,6
HDFC Group,"Data Patterns (India) Ltd.

High Gain High Volume",HDFC MUTUAL FUND,BSE,Block,Purchase,2/16/2024,1837,138000,0.0025,6
Government Of Singapore,"Data Patterns (India) Ltd.

High Gain High Volume",GOVERNMENT OF SINGAPORE,BSE,Block,Purchase,2/16/2024,1837,3147725,0.0562,6
Kotak Mahindra Group,"Data Patterns (India) Ltd.

High Gain High Volume",KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,2/16/2024,1837,91000,0.0016,6
Kotak Mahindra Group,"Data Patterns (India) Ltd.

High Gain High Volume",KOTAK MAHINDRA MUTUAL FUND,BSE,Block,Purchase,2/16/2024,1837,455000,0.0081,6
Government Of Singapore,Astral Ltd.,GOVERNMENT OF SINGAPORE,NSE,Block,Purchase,12/20/2023,1889.8,883690,0.0033,5
Abu Dhabi Investment Authority,Astral Ltd.,ABU DHABI INVESTMENT AUTHORITY,NSE,Block,Purchase,12/20/2023,1889.8,525000,0.002,5
SBI Group,Astral Ltd.,NATIONAL PENSION SYSTEM (NPS) TRUST SBI,NSE,Block,Purchase,12/20/2023,1889.8,105830,0.0004,5
Reliance Group,Astral Ltd.,RELIANCE LIFE INSURANCE CO LTD,NSE,Block,Purchase,12/20/2023,1889.8,105830,0.0004,5
Morgan Stanley Asia (Singapore) Pte.,Astral Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,12/20/2023,1889.8,220000,0.0008,5
Malabar Investments,Ami Organics Ltd.,MALABAR INDIA FUND LIMITED,NSE,Bulk,Purchase,12/21/2023,1030,485000,0.0132,3
ICICI Group,Ami Organics Ltd.,ICICI PRUDENTIAL MUTUAL FUND,NSE,Bulk,Purchase,12/21/2023,1030,500000,0.0136,3
Morgan Stanley Asia (Singapore) Pte.,Ami Organics Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Bulk,Purchase,12/21/2023,1030,807500,0.0219,3
Jainam Share Consultants Pvt. Ltd,FCS Software Solutions Ltd.,JAINAM SHARE CONSULTANTS PVT. LTD.,BSE,Bulk,Purchase,1/15/2024,5.37,5829302,0.0034,3
Jainam Share Consultants Pvt. Ltd,FCS Software Solutions Ltd.,JAINAM SHARE CONSULTANTS PVT. LTD.,BSE,Bulk,Purchase,1/15/2024,5.37,5829302,0.0034,3
Jainam Share Consultants Pvt. Ltd,FCS Software Solutions Ltd.,JAINAM SHARE CONSULTANTS PVT. LTD.,BSE,Bulk,Purchase,1/15/2024,5.37,5829302,0.0034,3
Arihant Capital Mkt. Ltd,HEC Infra Projects Ltd.,ARIHANT CAPITAL MARKETS LIMTED,NSE,Bulk,Purchase,12/20/2023,83,50000,0.0049,3
Arihant Capital Mkt. Ltd,HEC Infra Projects Ltd.,ARIHANT CAPITAL MARKETS LIMTED,NSE,Bulk,Purchase,12/20/2023,83,50000,0.0049,3
Arihant Capital Mkt. Ltd,HEC Infra Projects Ltd.,ARIHANT CAPITAL MARKETS LIMTED,NSE,Bulk,Purchase,12/20/2023,83,50000,0.0049,3
CANARA-GROUP,Medi Assist Healthcare Services Ltd.,CANARA ROBECO MUTUAL FUND,NSE,Bulk,Purchase,1/23/2024,489.02,2001000,0.0291,3
Nomura India Investment Fund Mother Fund,Medi Assist Healthcare Services Ltd.,TNTBC AS THE TRUSTEE OF NOMURA INDIA STOCK MOTHER FUND,NSE,Bulk,Purchase,1/23/2024,465.56,500000,0.0073,3
Goldman Sachs India Limited,Medi Assist Healthcare Services Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,1/23/2024,468.65,1534472,0.0223,3
Latin Manharlal Securities Pvt. Ltd.,Net Avenue Technologies Ltd.,LATIN MANHARLAL SECURITIES PVT. LTD.,NSE,Bulk,Purchase,1/4/2024,29.67,24000,0.0011,3
Latin Manharlal Securities Pvt. Ltd.,Net Avenue Technologies Ltd.,LATIN MANHARLAL SECURITIES PVT. LTD.,NSE,Bulk,Purchase,1/4/2024,29.67,24000,0.0011,3
Latin Manharlal Securities Pvt. Ltd.,Net Avenue Technologies Ltd.,LATIN MANHARLAL SECURITIES PVT. LTD.,NSE,Bulk,Purchase,1/4/2024,29.67,24000,0.0011,3
Arihant Capital Mkt. Ltd,RBZ Jewellers Ltd.,ARIHANT CAPITAL MARKETS LIMTED,NSE,Bulk,Purchase,1/10/2024,173.83,100334,0.0025,3
